item_nr,item_nr_old,item_number,answer,correct,audio_file,level,target_instrument,complexity,with_target_in_mix,condition_theoretical,time_song,song_nr,practice_item,old_audio_file_name,set_nr,condition,discrimination,guessing,inattention,difficulty,condition_difficulty_without_random_effects,item_difficulty,number_of_datapoints_per_cond,number_of_datapoints_per_item
14,739,git_item739_set228_wit_lvl-10_comp6_t140_song3,1,1,git_item739_set228_wit_lvl-10_comp6_t140_song3.wav,-10,Guitar,6,yes,30,140,3,no,Guitar_ItemNr(739)_SetNr(228)_WiT_Level(-15)_Complexity(6)_Time(140)_SongNr(3).wav,4,21,1.95100641,0.402489139,0.995917503,-0.526364198,-0.587335739,-0.656750254,496,38
15,739,git_item739_set228_wit_lvl-5_comp6_t140_song3,1,1,git_item739_set228_wit_lvl-5_comp6_t140_song3.wav,-5,Guitar,6,yes,18,140,3,no,Guitar_ItemNr(739)_SetNr(228)_WiT_Level(-15)_Complexity(6)_Time(140)_SongNr(3).wav,4,12,1.95100641,0.402489139,0.995917503,-1.413249341,-1.357656067,-1.403669995,485,36
16,739,git_item739_set228_wit_lvl0_comp6_t140_song3,1,1,git_item739_set228_wit_lvl0_comp6_t140_song3.wav,0,Guitar,6,yes,14,140,3,no,Guitar_ItemNr(739)_SetNr(228)_WiT_Level(-15)_Complexity(6)_Time(140)_SongNr(3).wav,4,8,1.95100641,0.402489139,0.995917503,-1.771482405,-1.832604192,-1.848612657,461,40
17,3212,p_item3212_set395_wit_lvl-15_comp6_t106_song3,1,1,p_item3212_set395_wit_lvl-15_comp6_t106_song3.wav,-15,Piano,6,yes,39,106,3,no,Piano_ItemNr(3212)_SetNr(395)_WiT_Level(-15)_Complexity(6)_Time(106)_SongNr(3).wav,5,34,1.95100641,0.402489139,0.995917503,-0.105948649,0.412665406,-0.06697831,497,40
18,3212,p_item3212_set395_wit_lvl-10_comp6_t106_song3,1,1,p_item3212_set395_wit_lvl-10_comp6_t106_song3.wav,-10,Piano,6,yes,31,106,3,no,Piano_ItemNr(3212)_SetNr(395)_WiT_Level(-15)_Complexity(6)_Time(106)_SongNr(3).wav,5,18,1.95100641,0.402489139,0.995917503,-1.356829462,-0.815367825,-1.211538108,565,37
19,3212,p_item3212_set395_wit_lvl-5_comp6_t106_song3,1,1,p_item3212_set395_wit_lvl-5_comp6_t106_song3.wav,-5,Piano,6,yes,19,106,3,no,Piano_ItemNr(3212)_SetNr(395)_WiT_Level(-15)_Complexity(6)_Time(106)_SongNr(3).wav,5,10,1.95100641,0.402489139,0.995917503,-1.838454311,-1.590433562,-1.668374987,467,104
20,3212,p_item3212_set395_wit_lvl0_comp6_t106_song3,1,1,p_item3212_set395_wit_lvl0_comp6_t106_song3.wav,0,Piano,6,yes,15,106,3,no,Piano_ItemNr(3212)_SetNr(395)_WiT_Level(-15)_Complexity(6)_Time(106)_SongNr(3).wav,5,4,1.95100641,0.402489139,0.995917503,-2.271284098,-2.065891627,-1.955122948,593,38
21,3211,voc_item3211_set776_wit_lvl-15_comp6_t408_song5,1,1,voc_item3211_set776_wit_lvl-15_comp6_t408_song5.wav,-15,Lead,6,yes,37,408,5,no,Lead_ItemNr(3211)_SetNr(776)_WiT_Level(-15)_Complexity(6)_Time(408)_SongNr(5).wav,6,35,1.95100641,0.402489139,0.995917503,-0.315888881,0.435541777,0.459776305,605,85
22,3211,voc_item3211_set776_wit_lvl-10_comp6_t408_song5,1,1,voc_item3211_set776_wit_lvl-10_comp6_t408_song5.wav,-10,Lead,6,yes,29,408,5,no,Lead_ItemNr(3211)_SetNr(776)_WiT_Level(-15)_Complexity(6)_Time(408)_SongNr(5).wav,6,19,1.95100641,0.402489139,0.995917503,-1.257858134,-0.793445264,-0.499353403,458,32
23,3211,voc_item3211_set776_wit_lvl-5_comp6_t408_song5,1,1,voc_item3211_set776_wit_lvl-5_comp6_t408_song5.wav,-5,Lead,6,yes,17,408,5,no,Lead_ItemNr(3211)_SetNr(776)_WiT_Level(-15)_Complexity(6)_Time(408)_SongNr(5).wav,6,11,1.95100641,0.402489139,0.995917503,-2.287420112,-1.568561085,-1.686413552,499,40
24,3211,voc_item3211_set776_wit_lvl0_comp6_t408_song5,1,1,voc_item3211_set776_wit_lvl0_comp6_t408_song5.wav,0,Lead,6,yes,13,408,5,no,Lead_ItemNr(3211)_SetNr(776)_WiT_Level(-15)_Complexity(6)_Time(408)_SongNr(5).wav,6,5,1.95100641,0.402489139,0.995917503,-2.070816006,-2.044704139,-1.864690175,629,37
25,748,b_item748_set332_wit_lvl-15_comp3_t98_song10,1,1,b_item748_set332_wit_lvl-15_comp3_t98_song10.wav,-15,Bass,3,yes,36,98,10,no,Bass_ItemNr(748)_SetNr(332)_WiT_Level(-15)_Complexity(3)_Time(98)_SongNr(10).wav,7,39,1.95100641,0.402489139,0.995917503,1.888507363,1.936781726,1.54487718,604,42
26,748,b_item748_set332_wit_lvl-10_comp3_t98_song10,1,1,b_item748_set332_wit_lvl-10_comp3_t98_song10.wav,-10,Bass,3,yes,28,98,10,no,Bass_ItemNr(748)_SetNr(332)_WiT_Level(-15)_Complexity(3)_Time(98)_SongNr(10).wav,7,37,1.95100641,0.402489139,0.995917503,0.609808049,0.680017063,0.449081904,494,40
27,748,b_item748_set332_wit_lvl-5_comp3_t98_song10,1,1,b_item748_set332_wit_lvl-5_comp3_t98_song10.wav,-5,Bass,3,yes,24,98,10,no,Bass_ItemNr(748)_SetNr(332)_WiT_Level(-15)_Complexity(3)_Time(98)_SongNr(10).wav,7,27,1.95100641,0.402489139,0.995917503,-0.168736021,-0.077466458,-0.469058175,582,47
28,748,b_item748_set332_wit_lvl0_comp3_t98_song10,1,1,b_item748_set332_wit_lvl0_comp3_t98_song10.wav,0,Bass,3,yes,12,98,10,no,Bass_ItemNr(748)_SetNr(332)_WiT_Level(-15)_Complexity(3)_Time(98)_SongNr(10).wav,7,22,1.95100641,0.402489139,0.995917503,-0.514494625,-0.538693982,-0.882265857,477,33
29,238,p_item238_set021_wit_lvl-15_comp3_t122_song12,1,1,p_item238_set021_wit_lvl-15_comp3_t122_song12.wav,-15,Piano,3,yes,35,122,12,no,Piano_ItemNr(238)_SetNr(021)_WiT_Level(-15)_Complexity(3)_Time(122)_SongNr(12).wav,8,28,1.95100641,0.402489139,0.995917503,0.240936219,0.085465479,-0.34974715,530,46
30,238,p_item238_set021_wit_lvl-10_comp3_t122_song12,1,1,p_item238_set021_wit_lvl-10_comp3_t122_song12.wav,-10,Piano,3,yes,27,122,12,no,Piano_ItemNr(238)_SetNr(021)_WiT_Level(-15)_Complexity(3)_Time(122)_SongNr(12).wav,8,14,1.95100641,0.402489139,0.995917503,-1.354568203,-1.1512087,-1.693005416,423,39
31,238,p_item238_set021_wit_lvl-5_comp3_t122_song12,1,1,p_item238_set021_wit_lvl-5_comp3_t122_song12.wav,-5,Piano,3,yes,23,122,12,no,Piano_ItemNr(238)_SetNr(021)_WiT_Level(-15)_Complexity(3)_Time(122)_SongNr(12).wav,8,6,1.95100641,0.402489139,0.995917503,-1.829359816,-1.931608452,-2.512677269,421,34
32,238,p_item238_set021_wit_lvl0_comp3_t122_song12,1,1,p_item238_set021_wit_lvl0_comp3_t122_song12.wav,0,Piano,3,yes,11,122,12,no,Piano_ItemNr(238)_SetNr(021)_WiT_Level(-15)_Complexity(3)_Time(122)_SongNr(12).wav,8,1,1.95100641,0.402489139,0.995917503,-2.351715436,-2.408931614,-2.745239913,572,134
33,3487,p_item3487_set440_wit_lvl-15_comp3_t242_song13,1,1,p_item3487_set440_wit_lvl-15_comp3_t242_song13.wav,-15,Piano,3,yes,35,242,13,no,Piano_ItemNr(3487)_SetNr(440)_WiT_Level(-15)_Complexity(3)_Time(242)_SongNr(13).wav,9,28,1.95100641,0.402489139,0.995917503,0.240936219,0.085465479,1.02670964,530,60
34,3487,p_item3487_set440_wit_lvl-10_comp3_t242_song13,1,1,p_item3487_set440_wit_lvl-10_comp3_t242_song13.wav,-10,Piano,3,yes,27,242,13,no,Piano_ItemNr(3487)_SetNr(440)_WiT_Level(-15)_Complexity(3)_Time(242)_SongNr(13).wav,9,14,1.95100641,0.402489139,0.995917503,-1.354568203,-1.1512087,-0.361832401,423,31
35,3487,p_item3487_set440_wit_lvl-5_comp3_t242_song13,1,1,p_item3487_set440_wit_lvl-5_comp3_t242_song13.wav,-5,Piano,3,yes,23,242,13,no,Piano_ItemNr(3487)_SetNr(440)_WiT_Level(-15)_Complexity(3)_Time(242)_SongNr(13).wav,9,6,1.95100641,0.402489139,0.995917503,-1.829359816,-1.931608452,-1.0166227,421,63
36,3487,p_item3487_set440_wit_lvl0_comp3_t242_song13,1,1,p_item3487_set440_wit_lvl0_comp3_t242_song13.wav,0,Piano,3,yes,11,242,13,no,Piano_ItemNr(3487)_SetNr(440)_WiT_Level(-15)_Complexity(3)_Time(242)_SongNr(13).wav,9,1,1.95100641,0.402489139,0.995917503,-2.351715436,-2.408931614,-1.451384467,572,31
37,2528,voc_item2528_set496_wit_lvl-15_comp6_t232_song14,1,1,voc_item2528_set496_wit_lvl-15_comp6_t232_song14.wav,-15,Lead,6,yes,37,232,14,no,Lead_ItemNr(2528)_SetNr(496)_WiT_Level(-15)_Complexity(6)_Time(232)_SongNr(14).wav,10,35,1.95100641,0.402489139,0.995917503,-0.315888881,0.435541777,-0.394950667,605,121
38,2528,voc_item2528_set496_wit_lvl-10_comp6_t232_song14,1,1,voc_item2528_set496_wit_lvl-10_comp6_t232_song14.wav,-10,Lead,6,yes,29,232,14,no,Lead_ItemNr(2528)_SetNr(496)_WiT_Level(-15)_Complexity(6)_Time(232)_SongNr(14).wav,10,19,1.95100641,0.402489139,0.995917503,-1.257858134,-0.793445264,-1.549387307,458,42
39,2528,voc_item2528_set496_wit_lvl-5_comp6_t232_song14,1,1,voc_item2528_set496_wit_lvl-5_comp6_t232_song14.wav,-5,Lead,6,yes,17,232,14,no,Lead_ItemNr(2528)_SetNr(496)_WiT_Level(-15)_Complexity(6)_Time(232)_SongNr(14).wav,10,11,1.95100641,0.402489139,0.995917503,-2.287420112,-1.568561085,-2.280207596,499,33
40,2528,voc_item2528_set496_wit_lvl0_comp6_t232_song14,1,1,voc_item2528_set496_wit_lvl0_comp6_t232_song14.wav,0,Lead,6,yes,13,232,14,no,Lead_ItemNr(2528)_SetNr(496)_WiT_Level(-15)_Complexity(6)_Time(232)_SongNr(14).wav,10,5,1.95100641,0.402489139,0.995917503,-2.070816006,-2.044704139,-2.669748344,629,86
41,1831,git_item1831_set554_wit_lvl-15_comp3_t54_song15,1,1,git_item1831_set554_wit_lvl-15_comp3_t54_song15.wav,-15,Guitar,3,yes,34,54,15,no,Guitar_ItemNr(1831)_SetNr(554)_WiT_Level(-15)_Complexity(3)_Time(54)_SongNr(15).wav,11,33,1.95100641,0.402489139,0.995917503,-0.186051959,0.310690412,-0.498353155,530,41
42,1831,git_item1831_set554_wit_lvl-10_comp3_t54_song15,1,1,git_item1831_set554_wit_lvl-10_comp3_t54_song15.wav,-10,Guitar,3,yes,26,54,15,no,Guitar_ItemNr(1831)_SetNr(554)_WiT_Level(-15)_Complexity(3)_Time(54)_SongNr(15).wav,11,16,1.95100641,0.402489139,0.995917503,-1.116525547,-0.920817272,-1.586789148,536,37
43,1831,git_item1831_set554_wit_lvl-5_comp3_t54_song15,1,1,git_item1831_set554_wit_lvl-5_comp3_t54_song15.wav,-5,Guitar,3,yes,22,54,15,no,Guitar_ItemNr(1831)_SetNr(554)_WiT_Level(-15)_Complexity(3)_Time(54)_SongNr(15).wav,11,9,1.95100641,0.402489139,0.995917503,-2.073588455,-1.697951315,-2.444418508,463,42
44,1831,git_item1831_set554_wit_lvl0_comp3_t54_song15,1,1,git_item1831_set554_wit_lvl0_comp3_t54_song15.wav,0,Guitar,3,yes,10,54,15,no,Guitar_ItemNr(1831)_SetNr(554)_WiT_Level(-15)_Complexity(3)_Time(54)_SongNr(15).wav,11,3,1.95100641,0.402489139,0.995917503,-2.535591044,-2.175266661,-2.817712366,468,61
45,2851,p_item2851_set307_wit_lvl-15_comp6_t84_song19,1,1,p_item2851_set307_wit_lvl-15_comp6_t84_song19.wav,-15,Piano,6,yes,39,84,19,no,Piano_ItemNr(2851)_SetNr(307)_WiT_Level(-15)_Complexity(6)_Time(84)_SongNr(19).wav,12,34,1.95100641,0.402489139,0.995917503,-0.105948649,0.412665406,0.050480287,497,58
46,2851,p_item2851_set307_wit_lvl-10_comp6_t84_song19,1,1,p_item2851_set307_wit_lvl-10_comp6_t84_song19.wav,-10,Piano,6,yes,31,84,19,no,Piano_ItemNr(2851)_SetNr(307)_WiT_Level(-15)_Complexity(6)_Time(84)_SongNr(19).wav,12,18,1.95100641,0.402489139,0.995917503,-1.356829462,-0.815367825,-1.392419333,565,48
47,2851,p_item2851_set307_wit_lvl-5_comp6_t84_song19,1,1,p_item2851_set307_wit_lvl-5_comp6_t84_song19.wav,-5,Piano,6,yes,19,84,19,no,Piano_ItemNr(2851)_SetNr(307)_WiT_Level(-15)_Complexity(6)_Time(84)_SongNr(19).wav,12,10,1.95100641,0.402489139,0.995917503,-1.838454311,-1.590433562,-2.032338047,467,69
48,2851,p_item2851_set307_wit_lvl0_comp6_t84_song19,1,1,p_item2851_set307_wit_lvl0_comp6_t84_song19.wav,0,Piano,6,yes,15,84,19,no,Piano_ItemNr(2851)_SetNr(307)_WiT_Level(-15)_Complexity(6)_Time(84)_SongNr(19).wav,12,4,1.95100641,0.402489139,0.995917503,-2.271284098,-2.065891627,-2.525025306,593,122
49,2121,voc_item2121_set380_wit_lvl-15_comp3_t122_song20,1,1,voc_item2121_set380_wit_lvl-15_comp3_t122_song20.wav,-15,Lead,3,yes,33,122,20,no,Lead_ItemNr(2121)_SetNr(380)_WiT_Level(-15)_Complexity(3)_Time(122)_SongNr(20).wav,13,29,1.95100641,0.402489139,0.995917503,0.098438839,0.108046669,0.241035497,425,40
50,2121,voc_item2121_set380_wit_lvl-10_comp3_t122_song20,1,1,voc_item2121_set380_wit_lvl-10_comp3_t122_song20.wav,-10,Lead,3,yes,25,122,20,no,Lead_ItemNr(2121)_SetNr(380)_WiT_Level(-15)_Complexity(3)_Time(122)_SongNr(20).wav,13,15,1.95100641,0.402489139,0.995917503,-1.379921176,-1.129699695,-0.924994937,575,54
51,2121,voc_item2121_set380_wit_lvl-5_comp3_t122_song20,1,1,voc_item2121_set380_wit_lvl-5_comp3_t122_song20.wav,-5,Lead,3,yes,21,122,20,no,Lead_ItemNr(2121)_SetNr(380)_WiT_Level(-15)_Complexity(3)_Time(122)_SongNr(20).wav,13,7,1.95100641,0.402489139,0.995917503,-1.865750964,-1.910440638,-1.533209243,541,113
52,2121,voc_item2121_set380_wit_lvl0_comp3_t122_song20,1,1,voc_item2121_set380_wit_lvl0_comp3_t122_song20.wav,0,Lead,3,yes,9,122,20,no,Lead_ItemNr(2121)_SetNr(380)_WiT_Level(-15)_Complexity(3)_Time(122)_SongNr(20).wav,13,2,1.95100641,0.402489139,0.995917503,-2.489367231,-2.388528616,-2.146571154,512,38
53,368,b_item368_set154_wit_lvl-15_comp6_t170_song21,1,1,b_item368_set154_wit_lvl-15_comp6_t170_song21.wav,-15,Bass,6,yes,40,170,21,no,Bass_ItemNr(368)_SetNr(154)_WiT_Level(-15)_Complexity(6)_Time(170)_SongNr(21).wav,14,40,1.95100641,0.402489139,0.995917503,2.386335346,2.273951478,1.288343495,472,33
54,368,b_item368_set154_wit_lvl-10_comp6_t170_song21,1,1,b_item368_set154_wit_lvl-10_comp6_t170_song21.wav,-10,Bass,6,yes,32,170,21,no,Bass_ItemNr(368)_SetNr(154)_WiT_Level(-15)_Complexity(6)_Time(170)_SongNr(21).wav,14,38,1.95100641,0.402489139,0.995917503,1.146991388,1.010231267,0.005694055,502,33
55,368,b_item368_set154_wit_lvl-5_comp6_t170_song21,1,1,b_item368_set154_wit_lvl-5_comp6_t170_song21.wav,-5,Bass,6,yes,20,170,21,no,Bass_ItemNr(368)_SetNr(154)_WiT_Level(-15)_Complexity(6)_Time(170)_SongNr(21).wav,14,32,1.95100641,0.402489139,0.995917503,0.434246861,0.248520775,-0.752263617,496,34
56,368,b_item368_set154_wit_lvl0_comp6_t170_song21,1,1,b_item368_set154_wit_lvl0_comp6_t170_song21.wav,0,Bass,6,yes,16,170,21,no,Bass_ItemNr(368)_SetNr(154)_WiT_Level(-15)_Complexity(6)_Time(170)_SongNr(21).wav,14,25,1.95100641,0.402489139,0.995917503,-0.08127129,-0.209977996,-1.203161816,400,41
57,2389,voc_item2389_set447_wit_lvl-15_comp3_t20_song21,1,1,voc_item2389_set447_wit_lvl-15_comp3_t20_song21.wav,-15,Lead,3,yes,33,20,21,no,Lead_ItemNr(2389)_SetNr(447)_WiT_Level(-15)_Complexity(3)_Time(20)_SongNr(21).wav,15,29,1.95100641,0.402489139,0.995917503,0.098438839,0.108046669,-0.793659764,425,25
58,2389,voc_item2389_set447_wit_lvl-10_comp3_t20_song21,1,1,voc_item2389_set447_wit_lvl-10_comp3_t20_song21.wav,-10,Lead,3,yes,25,20,21,no,Lead_ItemNr(2389)_SetNr(447)_WiT_Level(-15)_Complexity(3)_Time(20)_SongNr(21).wav,15,15,1.95100641,0.402489139,0.995917503,-1.379921176,-1.129699695,-2.14048394,575,42
59,2389,voc_item2389_set447_wit_lvl-5_comp3_t20_song21,1,1,voc_item2389_set447_wit_lvl-5_comp3_t20_song21.wav,-5,Lead,3,yes,21,20,21,no,Lead_ItemNr(2389)_SetNr(447)_WiT_Level(-15)_Complexity(3)_Time(20)_SongNr(21).wav,15,7,1.95100641,0.402489139,0.995917503,-1.865750964,-1.910440638,-3.096646489,541,30
60,2389,voc_item2389_set447_wit_lvl0_comp3_t20_song21,1,1,voc_item2389_set447_wit_lvl0_comp3_t20_song21.wav,0,Lead,3,yes,9,20,21,no,Lead_ItemNr(2389)_SetNr(447)_WiT_Level(-15)_Complexity(3)_Time(20)_SongNr(21).wav,15,2,1.95100641,0.402489139,0.995917503,-2.489367231,-2.388528616,-3.439378445,512,52
61,1150,p_item1150_set099_wit_lvl-15_comp3_t46_song21,1,1,p_item1150_set099_wit_lvl-15_comp3_t46_song21.wav,-15,Piano,3,yes,35,46,21,no,Piano_ItemNr(1150)_SetNr(099)_WiT_Level(-15)_Complexity(3)_Time(46)_SongNr(21).wav,16,28,1.95100641,0.402489139,0.995917503,0.240936219,0.085465479,-1.133325215,530,41
62,1150,p_item1150_set099_wit_lvl-10_comp3_t46_song21,1,1,p_item1150_set099_wit_lvl-10_comp3_t46_song21.wav,-10,Piano,3,yes,27,46,21,no,Piano_ItemNr(1150)_SetNr(099)_WiT_Level(-15)_Complexity(3)_Time(46)_SongNr(21).wav,16,14,1.95100641,0.402489139,0.995917503,-1.354568203,-1.1512087,-2.06433865,423,33
63,1150,p_item1150_set099_wit_lvl-5_comp3_t46_song21,1,1,p_item1150_set099_wit_lvl-5_comp3_t46_song21.wav,-5,Piano,3,yes,23,46,21,no,Piano_ItemNr(1150)_SetNr(099)_WiT_Level(-15)_Complexity(3)_Time(46)_SongNr(21).wav,16,6,1.95100641,0.402489139,0.995917503,-1.829359816,-1.931608452,-3.560604749,421,28
64,1150,p_item1150_set099_wit_lvl0_comp3_t46_song21,1,1,p_item1150_set099_wit_lvl0_comp3_t46_song21.wav,0,Piano,3,yes,11,46,21,no,Piano_ItemNr(1150)_SetNr(099)_WiT_Level(-15)_Complexity(3)_Time(46)_SongNr(21).wav,16,1,1.95100641,0.402489139,0.995917503,-2.351715436,-2.408931614,-3.946257015,572,39
65,2709,p_item2709_set276_wit_lvl-15_comp3_t32_song23,1,1,p_item2709_set276_wit_lvl-15_comp3_t32_song23.wav,-15,Piano,3,yes,35,32,23,no,Piano_ItemNr(2709)_SetNr(276)_WiT_Level(-15)_Complexity(3)_Time(32)_SongNr(23).wav,17,28,1.95100641,0.402489139,0.995917503,0.240936219,0.085465479,-0.917679563,530,41
66,2709,p_item2709_set276_wit_lvl-10_comp3_t32_song23,1,1,p_item2709_set276_wit_lvl-10_comp3_t32_song23.wav,-10,Piano,3,yes,27,32,23,no,Piano_ItemNr(2709)_SetNr(276)_WiT_Level(-15)_Complexity(3)_Time(32)_SongNr(23).wav,17,14,1.95100641,0.402489139,0.995917503,-1.354568203,-1.1512087,-2.242786205,423,45
67,2709,p_item2709_set276_wit_lvl-5_comp3_t32_song23,1,1,p_item2709_set276_wit_lvl-5_comp3_t32_song23.wav,-5,Piano,3,yes,23,32,23,no,Piano_ItemNr(2709)_SetNr(276)_WiT_Level(-15)_Complexity(3)_Time(32)_SongNr(23).wav,17,6,1.95100641,0.402489139,0.995917503,-1.829359816,-1.931608452,-2.831288769,421,40
68,2709,p_item2709_set276_wit_lvl0_comp3_t32_song23,1,1,p_item2709_set276_wit_lvl0_comp3_t32_song23.wav,0,Piano,3,yes,11,32,23,no,Piano_ItemNr(2709)_SetNr(276)_WiT_Level(-15)_Complexity(3)_Time(32)_SongNr(23).wav,17,1,1.95100641,0.402489139,0.995917503,-2.351715436,-2.408931614,-3.454167968,572,61
69,2972,b_item2972_set1012_wit_lvl-15_comp6_t212_song26,1,1,b_item2972_set1012_wit_lvl-15_comp6_t212_song26.wav,-15,Bass,6,yes,40,212,26,no,Bass_ItemNr(2972)_SetNr(1012)_WiT_Level(-15)_Complexity(6)_Time(212)_SongNr(26).wav,18,40,1.95100641,0.402489139,0.995917503,2.386335346,2.273951478,1.817684562,472,40
70,2972,b_item2972_set1012_wit_lvl-10_comp6_t212_song26,1,1,b_item2972_set1012_wit_lvl-10_comp6_t212_song26.wav,-10,Bass,6,yes,32,212,26,no,Bass_ItemNr(2972)_SetNr(1012)_WiT_Level(-15)_Complexity(6)_Time(212)_SongNr(26).wav,18,38,1.95100641,0.402489139,0.995917503,1.146991388,1.010231267,0.570463257,502,40
71,2972,b_item2972_set1012_wit_lvl-5_comp6_t212_song26,1,1,b_item2972_set1012_wit_lvl-5_comp6_t212_song26.wav,-5,Bass,6,yes,20,212,26,no,Bass_ItemNr(2972)_SetNr(1012)_WiT_Level(-15)_Complexity(6)_Time(212)_SongNr(26).wav,18,32,1.95100641,0.402489139,0.995917503,0.434246861,0.248520775,-0.274058032,496,45
